year,scenario,CDUID,pm25_1,pm25_2,no2_1,no2_2,o3_1,o3_2,summero3_1,summero3_2,co24h_1,co24h_2,co1h_1,co1h_2,so2_1,so2_2,bz_1,bz_2,bt_1,bt_2,ac_1,ac_2,fm_1,fm_2
2016,1,1001,1.8,2.84,0.15,3.36,26,35.9,28,34.21,0,0.1,0,0.12,0,0.15,0,0.041531087,0,0,0,0.401766835,0,0.283729885
2016,1,1002,1.8,2.51,0.15,2.52,26,34.8,28,33.26,0,0.1,0,0.12,0,0.15,0,0.038336388,0,0,0,0.42158493,0,0.26899067
2016,1,1003,1.8,2.79,0.15,2.99,26,35.2,28,33.8,0,0.1,0,0.12,0,0.15,0,0.041531087,0,0,0,0.45401454,0,0.288642957
2016,1,1004,1.8,3.32,0.15,2.6,26,35.5,28,33.82,0,0.1,0,0.12,0,0.15,0,0.044725786,0,0,0,0.499055665,0,0.323034458
2016,1,1005,1.8,3.12,0.15,2.3,26,35.7,28,33.01,0,0.1,0,0.12,0,0.15,0,0.038336388,0,0,0,0.45041125,0,0.310751779
2016,1,1006,1.8,2.22,0.15,2.94,26,36,28,33.93,0,0.1,0,0.12,0,0.15,0,0.038336388,0,0,0,0.430593155,0,0.305838707
2016,1,1007,1.8,1.91,0.15,2.67,26,34.7,28,33.02,0,0.1,0,0.12,0,0.15,0,0.035141689,0,0,0,0.394560255,0,0.286186421
2016,1,1008,1.8,1.8,0.15,2.53,26,34.6,28,32.26,0,0.1,0,0.12,0,0.15,0,0.035141689,0,0,0,0.398163545,0,0.277588545
2016,1,1009,1.8,1.8,0.15,2.35,26,34,28,30.87,0,0.1,0,0.12,0,0.15,0,0.028752291,0,0,0,0.37474216,0,0.253023187
2016,1,1010,1.8,1.8,0.15,2.98,26,32.3,28,29.33,0,0.1,0,0.12,0,0.15,0,0.019168194,0,0,0,0.264841815,0,0.218631686
2016,1,1011,1.8,1.8,0.15,2.63,26,30.9,28,28,0,0.1,0,0.12,0,0.15,0,0,0,0,0,0.009008225,0,0.008597875
2016,1,1101,1.8,2.77,0.15,2.84,26,37.2,28,35.02,0,0.1,0,0.12,0,0.15,0,0.076672776,0,0,0,0.64498891,0,0.482709285
2016,1,1102,1.8,2.78,0.15,3.18,26,38.6,28,36.79,0,0.1,0,0.12,0,0.15,0,0.09584097,0,0,0,0.66660865,0,0.518329054
2016,1,1103,1.8,2.48,0.15,2.73,26,36.4,28,34.54,0,0.1,0,0.12,0,0.15,0,0.083062174,0,0,0,0.66300536,0,0.466741802
2016,1,1201,1.8,3.14,0.15,2.49,26,37.8,28,37.34,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.72786458,0,0.4974485
2016,1,1202,1.8,3.35,0.15,2.54,26,38.1,28,37.25,0,0.1,0,0.12,0,0.15,0,0.111814465,0,0,0,0.740476095,0,0.4974485
2016,1,1203,1.8,3.19,0.15,2.29,26,38,28,36.71,0,0.1,0,0.12,0,0.15,0,0.108619766,0,0,0,0.747682675,0,0.52078559
2016,1,1204,1.8,3.04,0.15,2.5,26,37.5,28,35.59,0,0.1,0,0.12,0,0.15,0,0.099035669,0,0,0,0.715253065,0,0.519557322
2016,1,1205,1.8,3.47,0.15,2.45,26,38.6,28,36.21,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.740476095,0,0.569916306
2016,1,1206,1.8,3.4,0.15,3.07,26,36.8,28,34.62,0,0.1,0,0.12,0,0.15,0,0.099035669,0,0,0,0.715253065,0,0.571144574
2016,1,1207,1.8,3.77,0.15,2.47,26,38.3,28,35.37,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.72786458,0,0.598166467
2016,1,1208,1.8,3.35,0.15,2.49,26,35.6,28,33.25,0,0.1,0,0.12,0,0.15,0,0.09584097,0,0,0,0.704443195,0,0.601851271
2016,1,1209,1.8,4.02,0.15,4.64,26,35.7,28,34.13,0,0.1,0,0.12,0,0.15,0,0.115009164,0,0,0,0.68822839,0,0.571144574
